scenario,video,method,normalize_run,analysis_run,last_2s_translation_p95_px,last_2s_rotation_p95_deg,last_2s_scale_delta_p95,rejected_tracker_frames,median_tracker_inliers,median_tracker_inlier_ratio,interpretation
Static page,静止网页.mp4,detect,ablation_static_detect,analyze_ablation_static_detect,1.423,0.0073,0.001251,n/a,n/a,n/a,Per-frame detection works but leaves visible frame-to-frame geometric noise.
Static page,静止网页.mp4,flow,ablation_static_flow,analyze_ablation_static_flow,1.068,0.0133,0.000510,n/a,n/a,n/a,Plain optical flow reduces translation but increases residual rotation relative to reference tracking.
Static page,静止网页.mp4,reference,main_static_page,analyze_main_static_page,0.078,0.0015,0.000079,0,1000,1.000,Best main result on the clean static case.
Static page,静止网页.mp4,reference+align,ablation_static_reference_align,analyze_ablation_static_reference_align,0.155,0.0047,0.000102,0,1000,1.000,Residual alignment is accepted but does not improve this already stable sample.
Scrolling page,滚动网页.mp4,detect,ablation_scroll_detect,analyze_ablation_scroll_detect,1.528,0.0298,0.000698,n/a,n/a,n/a,Per-frame detection is sensitive to dynamic page content and produces higher rotation.
Scrolling page,滚动网页.mp4,flow,ablation_scroll_flow,analyze_ablation_scroll_flow,4.484,0.0171,0.000884,n/a,n/a,n/a,Plain flow drifts with scrolling content.
Scrolling page,滚动网页.mp4,reference,main_dynamic_scroll_page,analyze_main_dynamic_scroll_page,1.593,0.0082,0.000777,132,0,0.000,Reference gates many updates and falls back to a stable trajectory; translation metric is affected by actual scrolling content.
Scrolling page,滚动网页.mp4,reference+align,ablation_scroll_reference_align,analyze_ablation_scroll_reference_align,1.593,0.0082,0.000777,132,0,0.000,Residual alignment is mostly disabled by the global accept-ratio gate, preventing dynamic-content over-correction.
Screen video,运动视频.mp4,detect,ablation_screenvideo_detect,analyze_ablation_screenvideo_detect,4.543,0.0110,0.000941,n/a,n/a,n/a,Large screen-internal motion makes detection-only output unstable.
Screen video,运动视频.mp4,flow,ablation_screenvideo_flow,analyze_ablation_screenvideo_flow,3.257,0.0113,0.000777,n/a,n/a,n/a,Plain flow follows part of the motion but cannot separate screen plane from content motion.
Screen video,运动视频.mp4,reference,main_dynamic_screen_video,analyze_main_dynamic_screen_video,3.252,0.0066,0.000748,0,817,0.995,Reference tracking keeps a strong inlier set and lowers residual rotation.
Screen video,运动视频.mp4,reference+align,ablation_screenvideo_reference_align,analyze_ablation_screenvideo_reference_align,3.252,0.0066,0.000748,0,817,0.995,Residual alignment is not beneficial because the internal video motion dominates the residual measurement.
4K moire hard case,testmoire.mp4,reference,main_dynamic_testmoire,analyze_main_dynamic_testmoire,3.409,0.0480,0.001885,220,0,0.000,Failure boundary: moire/high-resolution texture leaves too few reliable reference points.
60fps baseline,VID20260621024117.mp4,reference,main_vid_024117,analyze_main_vid_024117,0.118,0.0044,0.000118,0,813,0.999,Strong positive 60fps case with stable reference tracking.
60fps dynamic hard case,VID20260621031719.mp4,reference,main_dynamic_vid_031719,analyze_main_dynamic_vid_031719,0.919,0.0194,0.000424,0,669,0.986,Acceptable dynamic hard case; more residual rotation than static samples but tracking remains reliable.
